trigger_code,trigger_name,onset_time,trial_number,condition,word,response,rt
5,COND2_WORD,487.6930011000077,89,2,kitchen,,
7,RESP_N,488.46599990001414,89,2,kitchen,n,0.7730447999783792
3,COND2_LABEL,491.4762411999982,90,2,,,
5,COND2_WORD,492.9929667999968,90,2,wallet,,
7,RESP_N,494.1790450999979,90,2,wallet,n,1.1860931999981403
2,COND1_LABEL,497.2267177000176,91,1,,,
4,COND1_WORD,498.7433675000211,91,1,brush,,
7,RESP_N,499.9750236000109,91,1,brush,n,1.231681800010847
3,COND2_LABEL,502.99339479999617,92,2,,,
5,COND2_WORD,504.51042240002425,92,2,penguin,,
6,RESP_Y,505.41208410001127,92,2,penguin,y,0.9016750000009779
2,COND1_LABEL,508.42657800001325,93,1,,,
4,COND1_WORD,509.94372840001597,93,1,cave,,
6,RESP_Y,510.6159694000089,93,1,cave,y,0.6722544000076596
2,COND1_LABEL,513.6266790000082,94,1,,,
4,COND1_WORD,515.1436380000087,94,1,fork,,
7,RESP_N,515.8860020000138,94,1,fork,n,0.7423791000037454
2,COND1_LABEL,518.8937204999966,95,1,,,
4,COND1_WORD,520.4102069000073,95,1,hummingbird,,
7,RESP_N,521.3270669000049,95,1,hummingbird,n,0.9168737000145484
2,COND1_LABEL,524.3435521000065,96,1,,,
4,COND1_WORD,525.8605357000197,96,1,bridge,,
7,RESP_N,526.5509886000073,96,1,bridge,n,0.6904679000144824
3,COND2_LABEL,529.5604913000134,97,2,,,
5,COND2_WORD,531.0772101000184,97,2,torch,,
7,RESP_N,531.750992300018,97,2,torch,n,0.6737988999811932
2,COND1_LABEL,534.7611109999998,98,1,,,
4,COND1_WORD,536.2773911000113,98,1,gazelle,,
6,RESP_Y,537.0550798000186,98,1,gazelle,y,0.7777018000197131
3,COND2_LABEL,540.0602566000016,99,2,,,
5,COND2_WORD,541.577199899999,99,2,panther,,
6,RESP_Y,542.7430486000085,99,2,panther,y,1.165862499998184
2,COND1_LABEL,545.7605521000223,100,1,,,
4,COND1_WORD,547.2774847999972,100,1,arch,,
6,RESP_Y,548.1251072000014,100,1,arch,y,0.8476349999837112
3,COND2_LABEL,551.1440195000032,101,2,,,
5,COND2_WORD,552.6606349000067,101,2,jaguar,,
6,RESP_Y,553.4450360000192,101,2,jaguar,y,0.7844291000219528
2,COND1_LABEL,556.460822300025,102,1,,,
4,COND1_WORD,557.9774134000181,102,1,butterfly,,
7,RESP_N,558.7932257000066,102,1,butterfly,n,0.8158268999832217
2,COND1_LABEL,561.8111435000028,103,1,,,
4,COND1_WORD,563.328096000012,103,1,goose,,
7,RESP_N,564.2680947000044,103,1,goose,n,0.9400133999879472
3,COND2_LABEL,567.2778493000078,104,2,,,
5,COND2_WORD,568.7947805000003,104,2,tiger,,
6,RESP_Y,569.5591259000066,104,2,tiger,y,0.7643711999990046
2,COND1_LABEL,572.5777357000043,105,1,,,
4,COND1_WORD,574.0945130000182,105,1,box,,
7,RESP_N,574.8690244000172,105,1,box,n,0.7745243000099435
3,COND2_LABEL,577.8779234000249,106,2,,,
5,COND2_WORD,579.3947402000194,106,2,paper,,
7,RESP_N,580.4750560999964,106,2,paper,n,1.0803424999758136
3,COND2_LABEL,583.4783473999996,107,2,,,
5,COND2_WORD,584.9947412000038,107,2,iguana,,
6,RESP_Y,586.2090318000119,107,2,iguana,y,1.2143184000160545
3,COND2_LABEL,589.227985000005,108,2,,,
5,COND2_WORD,590.7450212000113,108,2,newt,,
7,RESP_N,591.9500930000213,108,2,newt,n,1.2050853000255302
2,COND1_LABEL,594.9617696000205,109,1,,,
4,COND1_WORD,596.4783333000087,109,1,fabric,,
6,RESP_Y,597.1861528000154,109,1,fabric,y,0.7078314000100363
2,COND1_LABEL,600.1948537999997,110,1,,,
4,COND1_WORD,601.7120564000215,110,1,cork,,
7,RESP_N,602.4200918000133,110,1,cork,n,0.7080481000011787
3,COND2_LABEL,605.4284135000198,111,2,,,
5,COND2_WORD,606.9452308000182,111,2,magpie,,
7,RESP_N,608.066145800025,111,2,magpie,n,1.120927899988601
2,COND1_LABEL,611.078688700014,112,1,,,
