"trigger_code","trigger_name","onset_time","trial_number","condition","word","response","rt","remembered"
6,"RESP_Y",583.470121700317,111,1,"baboon","y",0.796544199809432,NA
3,"COND2_LABEL",586.473570199683,112,2,"","",NA,NA
51,"COND2_WORD",587.990833899006,112,2,"ledge","",NA,1
7,"RESP_N",588.582122599706,112,2,"ledge","n",0.59132120013237,NA
2,"COND1_LABEL",591.590356798843,113,1,"","",NA,NA
41,"COND1_WORD",593.107873799279,113,1,"carriage","",NA,1
6,"RESP_Y",593.814197899774,113,1,"carriage","y",0.706338899210095,NA
3,"COND2_LABEL",596.82403129898,114,2,"","",NA,NA
51,"COND2_WORD",598.340789599344,114,2,"wasp","",NA,1
6,"RESP_Y",598.934072898701,114,2,"wasp","y",0.593312300741673,NA
2,"COND1_LABEL",601.941101798788,115,1,"","",NA,NA
41,"COND1_WORD",603.457817899063,115,1,"gem","",NA,1
7,"RESP_N",604.086129099131,115,1,"gem","n",0.628323899582028,NA
2,"COND1_LABEL",607.091062199324,116,1,"","",NA,NA
40,"COND1_WORD",608.607793800533,116,1,"brush","",NA,0
7,"RESP_N",609.13415209949,116,1,"brush","n",0.526371799409389,NA
3,"COND2_LABEL",612.141859699041,117,2,"","",NA,NA
51,"COND2_WORD",613.657916000113,117,2,"net","",NA,1
7,"RESP_N",614.622101999819,117,2,"net","n",0.96424419991672,NA
2,"COND1_LABEL",617.624792098999,118,1,"","",NA,NA
40,"COND1_WORD",619.141891099513,118,1,"cobra","",NA,0
6,"RESP_Y",619.830077199265,118,1,"cobra","y",0.688200298696756,NA
2,"COND1_LABEL",622.841693500057,119,1,"","",NA,NA
41,"COND1_WORD",624.358433200046,119,1,"dog","",NA,1
7,"RESP_N",625.134061099961,119,1,"dog","n",0.775644700974226,NA
2,"COND1_LABEL",628.14185619913,120,1,"","",NA,NA
41,"COND1_WORD",629.658705899492,120,1,"dragonfly","",NA,1
6,"RESP_Y",630.438082600012,120,1,"dragonfly","y",0.77939079888165,NA
2,"COND1_LABEL",633.442089099437,121,1,"","",NA,NA
41,"COND1_WORD",634.95933239907,121,1,"barrel","",NA,1
6,"RESP_Y",635.694072600454,121,1,"barrel","y",0.734772700816393,NA
2,"COND1_LABEL",638.709061099216,122,1,"","",NA,NA
40,"COND1_WORD",640.225889898837,122,1,"dove","",NA,0
7,"RESP_N",640.798133600503,122,1,"dove","n",0.57226949930191,NA
2,"COND1_LABEL",643.809788299724,123,1,"","",NA,NA
40,"COND1_WORD",645.325991598889,123,1,"fuse","",NA,0
7,"RESP_N",645.918046599254,123,1,"fuse","n",0.592083100229502,NA
2,"COND1_LABEL",648.926087198779,124,1,"","",NA,NA
40,"COND1_WORD",650.442517699674,124,1,"fence","",NA,0
7,"RESP_N",650.990066399798,124,1,"fence","n",0.547578198835254,NA
3,"COND2_LABEL",653.992982098833,125,2,"","",NA,NA
51,"COND2_WORD",655.509592900053,125,2,"manta","",NA,1
6,"RESP_Y",656.59002429992,125,2,"manta","y",1.08047709986567,NA
3,"COND2_LABEL",659.59319140017,126,2,"","",NA,NA
51,"COND2_WORD",661.110075600445,126,2,"snipe","",NA,1
6,"RESP_Y",662.910136299208,126,2,"snipe","y",1.80007429979742,NA
3,"COND2_LABEL",665.926669299603,127,2,"","",NA,NA
51,"COND2_WORD",667.443837499246,127,2,"pigeon","",NA,1
6,"RESP_Y",668.118046600372,127,2,"pigeon","y",0.674222799018025,NA
3,"COND2_LABEL",671.126859400421,128,2,"","",NA,NA
51,"COND2_WORD",672.643807699904,128,2,"maze","",NA,1
7,"RESP_N",673.661977699026,128,2,"maze","n",1.01819489896297,NA
2,"COND1_LABEL",676.677190799266,129,1,"","",NA,NA
40,"COND1_WORD",678.193879699335,129,1,"frog","",NA,0
6,"RESP_Y",678.78200259991,129,1,"frog","y",0.588151600211859,NA
3,"COND2_LABEL",681.793988799676,130,2,"","",NA,NA
50,"COND2_WORD",683.311151899397,130,2,"insect","",NA,0
6,"RESP_Y",683.94204149954,130,2,"insect","y",0.63090549968183,NA
3,"COND2_LABEL",686.960867499933,131,2,"","",NA,NA
51,"COND2_WORD",688.477499900386,131,2,"buck","",NA,1
6,"RESP_Y",689.37412859872,131,2,"buck","y",0.896655300632119,NA
3,"COND2_LABEL",692.377784499899,132,2,"","",NA,NA
50,"COND2_WORD",693.894565999508,132,2,"orb","",NA,0
7,"RESP_N",694.56604719907,132,2,"orb","n",0.671521099284291,NA
2,"COND1_LABEL",697.578088499606,133,1,"","",NA,NA
40,"COND1_WORD",699.094599200413,133,1,"cargo","",NA,0
6,"RESP_Y",699.886119699106,133,1,"cargo","y",0.79154740087688,NA
2,"COND1_LABEL",702.89486300014,134,1,"","",NA,NA
40,"COND1_WORD",704.411526799202,134,1,"basket","",NA,0
6,"RESP_Y",705.173950100318,134,1,"basket","y",0.762464700266719,NA
2,"COND1_LABEL",708.178536999971,135,1,"","",NA,NA
